price,growth_rate,units,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
45,0,billion metric tons,4.27,4.22,4.17,4.12,4.08,4.05,4.02,3.99,3.97,3.95,3.93,3.92,3.90
45,0.01,billion metric tons,4.28,4.21,4.15,4.09,4.05,4.00,3.96,3.93,3.89,3.86,3.84,3.81,3.79
45,0.02,billion metric tons,4.28,4.20,4.13,4.07,4.01,3.95,3.90,3.86,3.82,3.78,3.74,3.71,3.68
45,0.03,billion metric tons,4.29,4.20,4.11,4.04,3.97,3.91,3.85,3.79,3.74,3.69,3.65,3.60,3.56
45,0.04,billion metric tons,4.29,4.19,4.10,4.01,3.93,3.86,3.79,3.72,3.66,3.60,3.55,3.49,3.44
45,0.05,billion metric tons,4.30,4.18,4.08,3.98,3.89,3.81,3.73,3.65,3.58,3.51,3.45,3.39,3.32
50,0,billion metric tons,4.19,4.13,4.08,4.04,4.00,3.96,3.93,3.90,3.88,3.86,3.84,3.82,3.81
50,0.01,billion metric tons,4.20,4.13,4.06,4.01,3.96,3.91,3.87,3.84,3.80,3.77,3.74,3.72,3.70
50,0.02,billion metric tons,4.20,4.12,4.05,3.98,3.92,3.86,3.81,3.77,3.72,3.68,3.65,3.61,3.58
50,0.03,billion metric tons,4.21,4.11,4.03,3.95,3.88,3.81,3.75,3.70,3.64,3.59,3.55,3.50,3.46
50,0.04,billion metric tons,4.21,4.11,4.01,3.92,3.84,3.77,3.69,3.63,3.56,3.50,3.45,3.39,3.34
50,0.05,billion metric tons,4.22,4.10,3.99,3.90,3.80,3.72,3.63,3.56,3.48,3.41,3.35,3.28,3.22
